路口名稱,方向,標誌型式,標誌內容,附牌,座標X-TWD97,座標Y-TWD97,經度座標X-WGS84,緯度座標Y-WGS84
南京西路無巷弄與迪化街一段路口附近,,禁止,01禁止任何車輛進入,,301471.33,2771845.02,121.5101385,25.05390302
南京西路無巷弄與迪化街一段路口附近,,禁止,21禁止左轉及直行,,301199.31,2771827.22,121.507442,25.0537516
迪化街一段,,禁止,18禁止左轉,,301629.82,2771855.47,121.5117096,25.05399203
迪化街一段,往北,禁止,02禁止汽車進入,,301805.37,2771871.24,121.5134501,25.05412835
迪化街一段,,禁止,18禁止左轉,,301641.27,2771831.56,121.5118223,25.05377577
迪化街一段,,禁止,22禁止迴車,,302217.63,2771777.83,121.5175324,25.05327086
迪化街一段,,禁止,17禁止右轉,,302066.33,2771817.15,121.5160344,25.05363109
迪化街一段,,禁止,22禁止迴車,,301973.54,2771843.24,121.5151158,25.05386982
迪化街一段,往北,禁止,04禁止大貨車及聯結車進入,,301971.9,2771822.04,121.5150987,25.05367847
迪化街一段,,禁止,22禁止迴車,,301987.36,2771840.66,121.5152526,25.05384605
迪化街一段,,禁止,17禁止右轉,,301987.09,2771839.53,121.5152499,25.0538358
迪化街一段,,禁止,18禁止左轉,,302066.74,2771818.1,121.5160384,25.05363959
迪化街一段,,禁止,18禁止左轉,,302084.34,2771815.2,121.5162128,25.05361286
迪化街一段,,禁止,17禁止右轉,,302084.6,2771816.28,121.5162155,25.05362258
迪化街一段,,禁止,19禁止左右轉,,302487.47,2771713.04,121.5202043,25.05267661
迪化街一段,,禁止,19禁止左右轉,,302523.63,2771705.51,121.5205624,25.05260736
北市中山區南京東路一段15號,,禁止,18禁止左轉,,302524.49,2771711.66,121.5205711,25.05266283
北市中山區南京東路一段88號林森公園 岳武穆王銅像,,禁止,18禁止左轉,,302992.6,2771646.5,121.5252079,25.05205829
北市中山區南京東路一段88號林森公園 岳武穆王銅像,,禁止,18禁止左轉,,303011.3,2771675.04,121.5253943,25.05231525
北市中山區南京東路一段88號林森公園 岳武穆王銅像,,禁止,18禁止左轉,,303026.42,2771649.73,121.5255432,25.05208623
北市中山區南京東路一段88號林森公園 岳武穆王銅像,,禁止,18禁止左轉,,303209,2771641.22,121.5273523,25.05200301
北市中山區南京東路二段20-9號,,禁止,18禁止左轉,,303272.2,2771650.93,121.5279791,25.05208846
北市中山區南京東路二段20-9號,往北,禁止,06禁止大客車、大貨車及聯結車進入,,303965.94,2771623.16,121.5348533,25.05181317
北市中山區南京東路二段20-9號,,禁止,17禁止右轉,,303346.49,2771651.29,121.5287153,25.05208907
北市中山區南京東路二段20-9號,,禁止,19禁止左右轉,,303272.63,2771646.36,121.5279831,25.05204716
北市中山區南京建國路口,,禁止,18禁止左轉,,304119.79,2771640.49,121.5363788,25.05196407
北市中山區南京建國路口,,禁止,18禁止左轉,,304203.52,2771649.3,121.537209,25.05204062
北市中山區南京東路三段115號,,禁止,18禁止左轉,,304513.88,2771636.77,121.5402843,25.05191634
北市中山區南京東路三段115號,,禁止,18禁止左轉,,304542.29,2771637.35,121.5405659,25.0519206
北市中山區南京東路三段115號,,禁止,18禁止左轉,,304541.74,2771640.58,121.5405606,25.05194975
北市松山區復興北路97號,,禁止,18禁止左轉,,304704.62,2771633.43,121.5421745,25.05187936
北市松山區復興北路97號,,禁止,17禁止右轉,,304770.89,2771615.22,121.5428306,25.05171249
