"統計期","行政區別","機動車輛登記數/總計","機動車輛登記數/汽車/合計","機動車輛登記數/汽車/大型車自用","機動車輛登記數/汽車/大型車營業用","機動車輛登記數/汽車/小型車自用","機動車輛登記數/汽車/小型車營業用","機動車輛登記數/汽車/特種車","機動車輛登記數/機車","每千人持有汽車數","每千人持有機車數"
"108年 1月底","總計",1758801,814659,3990,11103,647935,142699,8932,944142,305,354
"108年 1月底","松山區",130529,70740,392,997,50887,18160,304,59789,344,291
"108年 1月底","信義區",140179,62776,313,420,50755,9214,2074,77403,281,347
"108年 1月底","大安區",181206,107500,493,373,72571,33270,793,73706,348,239
"108年 1月底","中山區",183155,104576,979,2729,65428,34418,1022,78579,456,343
"108年 1月底","中正區",110860,53980,330,2651,39221,9406,2372,56880,340,358
"108年 1月底","大同區",88676,33913,155,325,30459,2826,148,54763,266,429
"108年 1月底","萬華區",126446,39496,154,78,36259,2797,208,86950,209,459
"108年 1月底","文山區",162704,66261,135,213,63290,2015,608,96443,242,352
"108年 1月底","南港區",85209,36925,163,160,30571,5895,136,48284,304,397
"108年 1月底","內湖區",204328,103006,450,1549,80975,19631,401,101322,358,352
"108年 1月底","士林區",181627,72874,259,1372,68198,2688,357,108753,255,380
"108年 1月底","北投區",163882,62612,167,236,59321,2379,509,101270,245,397
"108年 2月底","總計",1757990,813582,3983,11084,647063,142540,8912,944408,305,354
"108年 2月底","松山區",130543,70697,393,1004,50846,18149,305,59846,344,291
"108年 2月底","信義區",140061,62660,309,418,50665,9198,2070,77401,281,347
"108年 2月底","大安區",181101,107358,496,373,72485,33211,793,73743,348,239
"108年 2月底","中山區",183076,104443,968,2714,65366,34374,1021,78633,456,343
"108年 2月底","中正區",110840,53911,331,2652,39177,9377,2374,56929,339,358
"108年 2月底","大同區",88556,33863,155,324,30391,2845,148,54693,265,429
"108年 2月底","萬華區",126265,39397,155,78,36158,2801,205,86868,208,459
"108年 2月底","文山區",162721,66205,134,204,63251,2012,604,96516,242,353
"108年 2月底","南港區",85111,36840,163,155,30519,5868,135,48271,304,398
"108年 2月底","內湖區",204366,102962,449,1556,80922,19632,403,101404,358,353
"108年 2月底","士林區",181491,72761,263,1370,68089,2680,359,108730,254,380
"108年 2月底","北投區",163859,62485,167,236,59194,2393,495,101374,245,397
"108年 3月底","總計",1757671,813139,4013,11088,646523,142638,8877,944532,305,355
"108年 3月底","松山區",130378,70590,391,993,50832,18071,303,59788,343,291
"108年 3月底","信義區",139978,62617,307,418,50600,9222,2070,77361,281,347
"108年 3月底","大安區",181126,107425,507,371,72357,33395,795,73701,348,239
"108年 3月底","中山區",183340,104406,982,2703,65352,34381,988,78934,456,345
"108年 3月底","中正區",110796,53845,336,2659,39137,9330,2383,56951,339,359
"108年 3月底","大同區",88417,33819,155,325,30345,2843,151,54598,265,428
"108年 3月底","萬華區",126209,39363,154,77,36133,2794,205,86846,208,460
"108年 3月底","文山區",162817,66198,133,207,63244,2017,597,96619,242,353
"108年 3月底","南港區",85007,36789,160,161,30496,5838,134,48218,304,398
"108年 3月底","內湖區",204318,102901,452,1547,80871,19635,396,101417,358,353
"108年 3月底","士林區",181449,72720,269,1388,68008,2694,361,108729,254,380
"108年 3月底","北投區",163836,62466,167,239,59148,2418,494,101370,245,398
"108年 4月底","總計",1757290,812367,4022,11102,646047,142327,8869,944923,305,355
"108年 4月底","松山區",130305,70459,396,990,50732,18038,303,59846,343,291
"108年 4月底","信義區",139737,62406,304,414,50490,9136,2062,77331,281,348
"108年 4月底","大安區",180956,107289,519,363,72297,33321,789,73667,348,239
"108年 4月底","中山區",183227,104316,978,2702,65251,34396,989,78911,456,345
"108年 4月底","中正區",110973,54008,334,2682,39334,9272,2386,56965,340,359
"108年 4月底","大同區",88358,33743,160,327,30310,2792,154,54615,265,429
"108年 4月底","萬華區",126119,39292,155,77,36052,2804,204,86827,208,460
"108年 4月底","文山區",162938,66197,134,205,63238,2023,597,96741,242,354
"108年 4月底","南港區",84951,36748,155,161,30444,5851,137,48203,304,398
"108年 4月底","內湖區",204254,102790,453,1553,80827,19555,402,101464,358,354
"108年 4月底","士林區",181478,72619,268,1382,67903,2704,362,108859,254,381
"108年 4月底","北投區",163994,62500,166,246,59169,2435,484,101494,245,399
"108年 5月底","總計",1758156,813056,4048,11120,646162,142862,8864,945100,306,355
"108年 5月底","松山區",130290,70463,400,994,50738,18024,307,59827,343,291
"108年 5月底","信義區",139729,62434,304,411,50503,9157,2059,77295,281,348
"108年 5月底","大安區",181164,107467,527,337,72342,33470,791,73697,348,239
"108年 5月底","中山區",183880,104884,984,2703,65270,34938,989,78996,459,346
"108年 5月底","中正區",110962,53931,335,2722,39303,9190,2381,57031,340,360
"108年 5月底","大同區",88303,33689,160,326,30259,2788,156,54614,265,430
"108年 5月底","萬華區",126102,39305,157,77,36060,2806,205,86797,209,461
"108年 5月底","文山區",162966,66187,138,203,63213,2028,605,96779,242,354
"108年 5月底","南港區",84905,36758,153,158,30477,5833,137,48147,304,398
"108年 5月底","內湖區",204452,102874,459,1556,80979,19474,406,101578,359,354
"108年 5月底","士林區",181349,72524,262,1384,67816,2700,362,108825,254,382
"108年 5月底","北投區",164054,62540,169,249,59202,2454,466,101514,246,399
"108年 6月底","總計",1759770,814450,4091,11118,646427,143907,8907,945320,306,356
"108年 6月底","松山區",130325,70501,402,989,50891,17905,314,59824,344,292
"108年 6月底","信義區",139743,62505,301,410,50542,9196,2056,77238,282,349
"108年 6月底","大安區",181323,107690,539,339,72401,33629,782,73633,349,239
"108年 6月底","中山區",184630,105647,1002,2696,65233,35694,1022,78983,463,346
"108年 6月底","中正區",110728,53717,341,2719,39142,9137,2378,57011,339,360
"108年 6月底","大同區",88280,33714,162,326,30250,2816,160,54566,265,429
"108年 6月底","萬華區",126198,39305,157,77,36058,2809,204,86893,209,462
"108年 6月底","文山區",163179,66294,140,203,63323,2018,610,96885,243,355
