address,district,longitude,latitude,year,month,year2month,accident_count,injury_count,carNumberPer,motorcycleNumberPer,TemperatureAverage,RainDay
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2022,06,2022-06,0,0.0,403,380,28.1,15
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2022,07,2022-07,0,0.0,404,380,30.8,10
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2022,08,2022-08,0,0.0,405,381,30.6,10
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2022,09,2022-09,0,0.0,405,381,27.3,15
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2022,10,2022-10,1,1.0,406,381,24.2,20
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2022,11,2022-11,0,0.0,406,380,23.6,5
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2022,12,2022-12,0,0.0,406,379,16.6,18
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,01,2023-01,0,0.0,406,378,17.0,10
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,02,2023-02,1,1.0,406,378,17.5,7
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,03,2023-03,0,0.0,407,377,20.0,7
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,04,2023-04,0,0.0,407,377,22.6,9
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,05,2023-05,1,1.0,408,377,25.8,13
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,06,2023-06,0,0.0,409,377,28.8,13
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,07,2023-07,1,1.0,409,377,30.4,13
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,08,2023-08,0,0.0,409,377,29.7,16
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,09,2023-09,0,0.0,410,377,29.0,12
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,10,2023-10,0,0.0,411,377,25.3,10
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,11,2023-11,0,0.0,412,377,22.4,8
港墘路與堤頂大道口,內湖區,121.572149,25.074582,2023,12,2023-12,0,0.0,413,377,18.8,8
南京東路與建國北路口,中山區,121.537035,25.052061,2022,06,2022-06,1,1.0,531,393,28.1,15
南京東路與建國北路口,中山區,121.537035,25.052061,2022,07,2022-07,0,0.0,532,393,30.8,10
南京東路與建國北路口,中山區,121.537035,25.052061,2022,08,2022-08,0,0.0,532,393,30.6,10
南京東路與建國北路口,中山區,121.537035,25.052061,2022,09,2022-09,0,0.0,533,393,27.3,15
南京東路與建國北路口,中山區,121.537035,25.052061,2022,10,2022-10,1,1.0,531,391,24.2,20
南京東路與建國北路口,中山區,121.537035,25.052061,2022,11,2022-11,0,0.0,530,390,23.6,5
南京東路與建國北路口,中山區,121.537035,25.052061,2022,12,2022-12,2,4.0,529,388,16.6,18
南京東路與建國北路口,中山區,121.537035,25.052061,2023,01,2023-01,1,1.0,527,386,17.0,10
