address,district,longitude,latitude,year,month,year2month,accident_count,injury_count,carNumberPer,motorcycleNumberPer,TemperatureAverage,RainDay
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2022,06,2022-06,3,5.0,632,825,28.1,15
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2022,07,2022-07,8,22.0,632,824,30.8,10
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2022,08,2022-08,1,4.0,633,823,30.6,10
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2022,09,2022-09,4,6.0,632,824,27.3,15
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2022,10,2022-10,2,4.0,631,821,24.2,20
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2022,11,2022-11,0,0.0,629,820,23.6,5
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2022,12,2022-12,1,1.0,626,818,16.6,18
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,01,2023-01,1,2.0,625,814,17.0,10
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,02,2023-02,0,0.0,624,812,17.5,7
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,03,2023-03,0,0.0,623,810,20.0,7
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,04,2023-04,1,4.0,623,809,22.6,9
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,05,2023-05,4,7.0,623,805,25.8,13
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,06,2023-06,1,1.0,624,809,28.8,13
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,07,2023-07,0,0.0,625,807,30.4,13
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,08,2023-08,1,2.0,620,805,29.7,16
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,09,2023-09,0,0.0,624,804,29.0,12
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,10,2023-10,0,0.0,623,802,25.3,10
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,11,2023-11,1,2.0,623,801,22.4,8
市民大道與承德路口,中正區、大同區,121.516415,25.048688,2023,12,2023-12,2,2.0,622,798,18.8,8
民權西路與承德路口,大同區,121.518198,25.063106,2022,06,2022-06,1,2.0,279,448,28.1,15
民權西路與承德路口,大同區,121.518198,25.063106,2022,07,2022-07,0,0.0,278,448,30.8,10
民權西路與承德路口,大同區,121.518198,25.063106,2022,08,2022-08,0,0.0,278,448,30.6,10
民權西路與承德路口,大同區,121.518198,25.063106,2022,09,2022-09,0,0.0,277,449,27.3,15
民權西路與承德路口,大同區,121.518198,25.063106,2022,10,2022-10,0,0.0,277,447,24.2,20
民權西路與承德路口,大同區,121.518198,25.063106,2022,11,2022-11,0,0.0,276,447,23.6,5
民權西路與承德路口,大同區,121.518198,25.063106,2022,12,2022-12,0,0.0,275,447,16.6,18
民權西路與承德路口,大同區,121.518198,25.063106,2023,01,2023-01,0,0.0,275,445,17.0,10
民權西路與承德路口,大同區,121.518198,25.063106,2023,02,2023-02,0,0.0,275,444,17.5,7
民權西路與承德路口,大同區,121.518198,25.063106,2023,03,2023-03,0,0.0,275,443,20.0,7
民權西路與承德路口,大同區,121.518198,25.063106,2023,04,2023-04,0,0.0,275,443,22.6,9
民權西路與承德路口,大同區,121.518198,25.063106,2023,05,2023-05,0,0.0,276,441,25.8,13
民權西路與承德路口,大同區,121.518198,25.063106,2023,06,2023-06,0,0.0,276,441,28.8,13
民權西路與承德路口,大同區,121.518198,25.063106,2023,07,2023-07,0,0.0,277,440,30.4,13
民權西路與承德路口,大同區,121.518198,25.063106,2023,08,2023-08,0,0.0,275,440,29.7,16
民權西路與承德路口,大同區,121.518198,25.063106,2023,09,2023-09,0,0.0,277,440,29.0,12
民權西路與承德路口,大同區,121.518198,25.063106,2023,10,2023-10,0,0.0,277,439,25.3,10
民權西路與承德路口,大同區,121.518198,25.063106,2023,11,2023-11,0,0.0,278,439,22.4,8
民權西路與承德路口,大同區,121.518198,25.063106,2023,12,2023-12,0,0.0,277,438,18.8,8
民權西路與延平北路口,大同區,121.511237,25.062788,2022,06,2022-06,2,4.0,279,448,28.1,15
民權西路與延平北路口,大同區,121.511237,25.062788,2022,07,2022-07,2,2.0,278,448,30.8,10
民權西路與延平北路口,大同區,121.511237,25.062788,2022,08,2022-08,3,4.0,278,448,30.6,10
民權西路與延平北路口,大同區,121.511237,25.062788,2022,09,2022-09,0,0.0,277,449,27.3,15
民權西路與延平北路口,大同區,121.511237,25.062788,2022,10,2022-10,2,3.0,277,447,24.2,20
民權西路與延平北路口,大同區,121.511237,25.062788,2022,11,2022-11,1,2.0,276,447,23.6,5
民權西路與延平北路口,大同區,121.511237,25.062788,2022,12,2022-12,0,0.0,275,447,16.6,18
民權西路與延平北路口,大同區,121.511237,25.062788,2023,01,2023-01,2,2.0,275,445,17.0,10
民權西路與延平北路口,大同區,121.511237,25.062788,2023,02,2023-02,1,1.0,275,444,17.5,7
民權西路與延平北路口,大同區,121.511237,25.062788,2023,03,2023-03,2,3.0,275,443,20.0,7
民權西路與延平北路口,大同區,121.511237,25.062788,2023,04,2023-04,1,1.0,275,443,22.6,9
民權西路與延平北路口,大同區,121.511237,25.062788,2023,05,2023-05,2,4.0,276,441,25.8,13
民權西路與延平北路口,大同區,121.511237,25.062788,2023,06,2023-06,3,3.0,276,441,28.8,13
民權西路與延平北路口,大同區,121.511237,25.062788,2023,07,2023-07,0,0.0,277,440,30.4,13
民權西路與延平北路口,大同區,121.511237,25.062788,2023,08,2023-08,1,3.0,275,440,29.7,16
民權西路與延平北路口,大同區,121.511237,25.062788,2023,09,2023-09,3,6.0,277,440,29.0,12
民權西路與延平北路口,大同區,121.511237,25.062788,2023,10,2023-10,0,0.0,277,439,25.3,10
民權西路與延平北路口,大同區,121.511237,25.062788,2023,11,2023-11,0,0.0,278,439,22.4,8
民權西路與延平北路口,大同區,121.511237,25.062788,2023,12,2023-12,2,3.0,277,438,18.8,8
民權西路與蘭州街口 ,大同區,121.514742,25.062957,2022,06,2022-06,0,0.0,279,448,28.1,15
民權西路與蘭州街口 ,大同區,121.514742,25.062957,2022,07,2022-07,0,0.0,278,448,30.8,10
民權西路與蘭州街口 ,大同區,121.514742,25.062957,2022,08,2022-08,2,6.0,278,448,30.6,10
民權西路與蘭州街口 ,大同區,121.514742,25.062957,2022,09,2022-09,2,3.0,277,449,27.3,15
民權西路與蘭州街口 ,大同區,121.514742,25.062957,2022,10,2022-10,2,5.0,277,447,24.2,20
